index,answer,confidence,raw_output,prompt_preview
66,?,0,"D. Sci/Tech\n\nNews: IT alligator tales I grew up in New York, where giant alligators -- sometimes more ornately","You are a multiple-choice classifier. Read the news and answer in JSON with exactly these keys, no extra text: {""answer"": A/B/C/D, ""confidence"": Very unconfident/Unconfident/Neutral/Confident/Very confident }. Answer options: A. World, B. Sports, C. Business, D. Sci/Tech  News: IT alligator tales I grew up in New York, where giant alligators -- sometimes more ornately described as albino alligators -- were rumored to roam the citys sewer systems. According to legend, vacationers picked up the tiny crocodilians in Florida, brought them home to New York, and eventually flushed the little buggers when they grew too big for the local concrete jungle./nJSON: "
94,?,0,D. Sci/Tech  D. Sci/Tech  D. Sci/Tech  D. Sci/Tech  D. Sci/,"You are a multiple-choice classifier. Read the news and answer in JSON with exactly these keys, no extra text: {""answer"": A/B/C/D, ""confidence"": Very unconfident/Unconfident/Neutral/Confident/Very confident }. Answer options: A. World, B. Sports, C. Business, D. Sci/Tech  News: T. Rex Had Teen Growth Spurt, Scientists Say (Reuters) Reuters - Tyrannosaurus Rex grew incredibly fast\during a teenaged growth spurt that saw the dinosaur expand its\bulk by six times, but the fearsome beasts ""lived fast and died\young,"" researchers said on Wednesday./nJSON: "
447,?,0,D. Sci/Tech\n\nNews: Guitar Player Honors GarageBand Guitar Player magazine announced during the summer NAMM show in,"You are a multiple-choice classifier. Read the news and answer in JSON with exactly these keys, no extra text: {""answer"": A/B/C/D, ""confidence"": Very unconfident/Unconfident/Neutral/Confident/Very confident }. Answer options: A. World, B. Sports, C. Business, D. Sci/Tech  News: Guitar Player Honors GarageBand Guitar Player magazine announced during the summer NAMM show in Nashville that it has awarded GarageBand the magazine #146;s reader #146;s choice for Best Software of 2004. Jul 29/nJSON: "
552,?,0,"D,  C,  A,  D\n\nAnswer: A. World\n\nAnswer: B. Sports\n\nAnswer: C. Business","You are a multiple-choice classifier. Read the news and answer in JSON with exactly these keys, no extra text: {""answer"": A/B/C/D, ""confidence"": Very unconfident/Unconfident/Neutral/Confident/Very confident }. Answer options: A. World, B. Sports, C. Business, D. Sci/Tech  News: Computer Naivete Costs A Bundle The meltdown of my home computer was my fault, the result of having switched to a high-speed Internet connection without installing a firewall or heeding those pesky warnings to download critical updates for Windows and anti-virus software. &lt;FONT face=""verdana,MS Sans Serif,arial,helvetica"" size=""-2""\ color=""#666666""&gt;&lt;B&gt;-The Washington Post&lt;/b&gt;&lt;/font&gt;/nJSON: "
539,?,0,"A, B, C, D, A, B, C, D, A, B, C, D, A, B, C, D,","You are a multiple-choice classifier. Read the news and answer in JSON with exactly these keys, no extra text: {""answer"": A/B/C/D, ""confidence"": Very unconfident/Unconfident/Neutral/Confident/Very confident }. Answer options: A. World, B. Sports, C. Business, D. Sci/Tech  News: Iraqi Troops to Take Lead in Fighting Militia Iraq will send troops to Najaf to battle a Shiite Muslim militia after peace talks collapsed between the government and Moqtada Sadr./nJSON: "
588,?,0,"D,  C,  A,  B,  D,  A,  B,  C,  A,  B,  D,","You are a multiple-choice classifier. Read the news and answer in JSON with exactly these keys, no extra text: {""answer"": A/B/C/D, ""confidence"": Very unconfident/Unconfident/Neutral/Confident/Very confident }. Answer options: A. World, B. Sports, C. Business, D. Sci/Tech  News: Charley Damage Estimated at \$11 Billion PUNTA GORDA, Fla. - As Florida residents began sweeping up the wreckage left behind by Hurricane Charley, officials on Sunday estimated damages as high as \$11 billion for insured homes alone.../nJSON: "
832,?,0,"A, B, C, D, A, B, C, D, A, B, C, D, A, B, C, D,","You are a multiple-choice classifier. Read the news and answer in JSON with exactly these keys, no extra text: {""answer"": A/B/C/D, ""confidence"": Very unconfident/Unconfident/Neutral/Confident/Very confident }. Answer options: A. World, B. Sports, C. Business, D. Sci/Tech  News: U.S. Tries to Rebound From Loss in Athens (AP) AP - Greetings from the Olympic men's basketball tournament, where America is tied for last place with Angola, Australia, New Zealand, China and the defending world champions from Serbia-Montenegro./nJSON: "
98,?,0,D. Sci/Tech  D. Sci/Tech  D. Sci/Tech  D. Sci/Tech  D. Sci/,"You are a multiple-choice classifier. Read the news and answer in JSON with exactly these keys, no extra text: {""answer"": A/B/C/D, ""confidence"": Very unconfident/Unconfident/Neutral/Confident/Very confident }. Answer options: A. World, B. Sports, C. Business, D. Sci/Tech  News: UK Scientists Allowed to Clone Human Embryos (Reuters) Reuters - British scientists said on Wednesday\they had received permission to clone human embryos for medical\research, in what they believe to be the first such license to\be granted in Europe./nJSON: "
442,?,0,D.  Sci/Tech  D.  Sci/Tech  D.  Sci/Tech  D.  Sci/Tech,"You are a multiple-choice classifier. Read the news and answer in JSON with exactly these keys, no extra text: {""answer"": A/B/C/D, ""confidence"": Very unconfident/Unconfident/Neutral/Confident/Very confident }. Answer options: A. World, B. Sports, C. Business, D. Sci/Tech  News: iTunes Music Store Catalog Tops One Million Songs The iTunes Music Store now has more than one million songs available for download in the US, the first online digital music service to offer consumers a million-song catalog. Aug 10/nJSON: "
252,?,0,D. Sci/Tech A. World B. Sports C. Business D. Sci/Tech A. World B. Sports C. Business D.,"You are a multiple-choice classifier. Read the news and answer in JSON with exactly these keys, no extra text: {""answer"": A/B/C/D, ""confidence"": Very unconfident/Unconfident/Neutral/Confident/Very confident }. Answer options: A. World, B. Sports, C. Business, D. Sci/Tech  News: Saturn Hailstorm When Cassini reached Saturn On June 30th, it dashed through a gap in Saturn's rings, twice. One of onboard science instruments recorded a flurry of ring-dust harmlessly striking the spacecraft.\\/nJSON: "
