index,source_text,raw_output,prompt_preview
600,"Mike can type 65 words per minute. Due to a minor accident, Mike cannot use his right hand for a while so that his typing speed is now 20 words less per minute. If he is supposed to type a document with 810 words, how many minutes will it take him to finish typing the document?","Mike's typing speed is 65 words per minute - 20 words per minute = <<65-20=45>>45 words per minute.\nThere are 810 words in the document, so Mike will need to type 810 words / 45 words per minute = <<810/45=18>>18 minutes to finish typing the document.\n#### 18 minutes\n#### 18 x 60 = 1080 seconds\n#### 1080 seconds / 60 = 180 seconds\n#### 180 seconds / 60 = 30 seconds\n#### 30 seconds / 1 minute = 30 seconds\n#### 30 seconds\n#### 30 seconds\n#### 0.5 minutes\n#### 0.5 minutes\n#### 30 seconds\n#### 30 seconds\n#### 0.5 minutes\n#### 0.5 minutes\n#### 30 seconds\n#### 30 seconds\n#### 0.5 minutes\n#### 0.5 minutes\n#### 30 seconds\n#### 30 seconds\n#### 0.5 minutes","You are a helpful math problem solver. Read the following problem and solve it step by step. Finish with the final numeric answer. Problem: Mike can type 65 words per minute. Due to a minor accident, Mike cannot use his right hand for a while so that his typing speed is now 20 words less per minute. If he is supposed to type a document with 810 words, how many minutes will it take him to finish typing the document? Answer: "
2450,"Jamie is a firefighter. One day an emergency call comes in from Mrs. Thompson, an elderly woman whose cat can't get down a 20-foot tree. The last time Jamie rescued a cat, he got it down from a 6-foot tree and had to climb 12 rungs of his ladder. How many rungs does he have to climb this time to get the cat down from the tree?","Jamie has to climb 20 - 6 = <<20-6=14>>14 rungs.\nJamie has 12 rungs on his ladder, so he has 12 x 2 = <<12*2=24>>24 rungs.\nJamie has to climb 14 rungs, so he has 24 - 14 = <<24-14=10>>10 rungs left.\n#### 10\n#### 10\n#### 10\n#### 10\n#### 10\n#### 10\n#### 10\n#### 10\n#### 10\n#### 10\n#### 10\n#### 10\n#### 10\n#### 10\n#### 10\n#### 10\n#### 10\n#### 10\n#### 10\n#### 10\n#### 10\n#### 10\n#### 10\n#### 10\n#### 10\n#### 10\n#### 10\n#### 10\n#### 10\n#### 1","You are a helpful math problem solver. Read the following problem and solve it step by step. Finish with the final numeric answer. Problem: Jamie is a firefighter. One day an emergency call comes in from Mrs. Thompson, an elderly woman whose cat can't get down a 20-foot tree. The last time Jamie rescued a cat, he got it down from a 6-foot tree and had to climb 12 rungs of his ladder. How many rungs does he have to climb this time to get the cat down from the tree? Answer: "
1274,"At Esme's school, there are 30 teachers and 45 staff members. On a Monday morning, The Best Pizza Inn brought pizza for the staff and teachers as a promotion offer. If 2/3 of the teachers and 4/5 of the staff members ate Pizza, how many non-pizza eaters are at Esme's school?",The number of staff members who ate pizza is 45/5 = <<45/5=9>>9\nThe number of teachers who ate pizza is 30/3 = <<30/3=10>>10\nThe number of non-pizza eaters is 30-10-9 = <<30-10-9=11>>11\n#### 11\n#### 11\n#### 11\n#### 11\n#### 11\n#### 11\n#### 11\n#### 11\n#### 11\n#### 11\n#### 11\n#### 11\n#### 11\n#### 11\n#### 11\n#### 11\n#### 11\n#### 11\n#### 11\n#### 11\n#### 11\n#### 11\n#### 11\n#### 11\n#### 11\n#### 11\n#### 11\n#### 11\n#### 11\n#### 11\n#### 11\n#### 11\n#### 11\n####,"You are a helpful math problem solver. Read the following problem and solve it step by step. Finish with the final numeric answer. Problem: At Esme's school, there are 30 teachers and 45 staff members. On a Monday morning, The Best Pizza Inn brought pizza for the staff and teachers as a promotion offer. If 2/3 of the teachers and 4/5 of the staff members ate Pizza, how many non-pizza eaters are at Esme's school? Answer: "
896,"The math questions in a contest are divided into three rounds: easy, average, and hard. There are corresponding points given for each round. That is 2, 3, and 5 points for every correct answer in the easy, average, and hard rounds, respectively. Suppose Kim got 6 correct answers in the easy; 2 correct answers in the average; and 4 correct answers in the difficult round, what are her total points in the contest?","Kim got 6*2=<<6*2=12>>12 points in the easy round.\nShe got 2*3=<<2*3=6>>6 points in the average round.\nShe got 4*5=<<4*5=20>>20 points in the difficult round.\nTherefore, she got a total of 12+6+20=<<12+6+20=48>>48 points in the contest.\n#### 48\n#### 48\n#### 48\n#### 48\n#### 48\n#### 48\n#### 48\n#### 48\n#### 48\n#### 48\n#### 48\n#### 48\n#### 48\n#### 48\n#### 48\n#### 48\n#### 48\n#### 48\n#### 48\n#### 48\n#### 48\n#### 48\n#### 48\n#### 48\n#### 48\n#### 48\n#### 48\n#### 48\n#### 48\n#### 48","You are a helpful math problem solver. Read the following problem and solve it step by step. Finish with the final numeric answer. Problem: The math questions in a contest are divided into three rounds: easy, average, and hard. There are corresponding points given for each round. That is 2, 3, and 5 points for every correct answer in the easy, average, and hard rounds, respectively. Suppose Kim got 6 correct answers in the easy; 2 correct answers in the average; and 4 correct answers in the difficult round, what are her total points in the contest? Answer: "
3518,"Martha needs to paint all four walls in her 12 foot by 16 foot kitchen, which has 10 foot high ceilings. Each wall needs one coat of primer and two coats of paint. If Martha can paint 40 square feet per hour, how many hours will it take her to paint the kitchen?","The kitchen has 4 walls, so it has 4*12=<<4*12=48>>48 square feet of wall space.\nThe kitchen has 10*16=<<10*16=160>>160 square feet of ceiling space.\nThe kitchen has 48+160=<<48+160=208>>208 square feet of wall and ceiling space.\nMartha can paint 40 square feet per hour, so it will take her 208/40=<<208/40=5>>5 hours to paint the kitchen.\n#### 5 hours\n#### 5 hours\n#### 5 hours\n#### 5 hours\n#### 5 hours\n#### 5 hours\n#### 5 hours\n#### 5 hours\n#### 5 hours\n#### 5 hours\n#### 5 hours\n#### 5 hours\n#### 5 hours\n#### 5 hours\n#### 5 hours\n#### 5 hours\n#### 5 hours\n#### 5 hours\n#### 5 hours\n#### 5 hours\n#### 5 hours\n#### 5 hours\n####","You are a helpful math problem solver. Read the following problem and solve it step by step. Finish with the final numeric answer. Problem: Martha needs to paint all four walls in her 12 foot by 16 foot kitchen, which has 10 foot high ceilings. Each wall needs one coat of primer and two coats of paint. If Martha can paint 40 square feet per hour, how many hours will it take her to paint the kitchen? Answer: "
6133,"Jerry, Gabriel, and Jaxon ask their parents to buy them toys to play with. Jerry is bought 8 more toys than Gabriel, but Gabriel has twice as many toys as Jaxon. If Jaxon got 15 toys, what's the total number of toys they all have?","Jerry has 8 more toys than Gabriel, so Jerry has 2*15=<<2*15=30>>30 toys.\nGabriel has 2*15=<<2*15=30>>30 toys.\nJaxon has 15 toys.\nThe total number of toys they all have is 30+30+15=<<30+30+15=75>>75 toys.\n#### 75\n#### 75\n#### 75\n#### 75\n#### 75\n#### 75\n#### 75\n#### 75\n#### 75\n#### 75\n#### 75\n#### 75\n#### 75\n#### 75\n#### 75\n#### 75\n#### 75\n#### 75\n#### 75\n#### 75\n#### 75\n#### 75\n#### 75\n#### 75\n#### 75\n#### 75\n#### 75\n#### 75\n#### 75\n####","You are a helpful math problem solver. Read the following problem and solve it step by step. Finish with the final numeric answer. Problem: Jerry, Gabriel, and Jaxon ask their parents to buy them toys to play with. Jerry is bought 8 more toys than Gabriel, but Gabriel has twice as many toys as Jaxon. If Jaxon got 15 toys, what's the total number of toys they all have? Answer: "
3127,"Matt is four times as old as Fem. Currently, Fem is 11 years old. In two years, what is the sum of the ages of Matt and Fem?","Matt is 4*11=<<4*11=44>>44 years old.\nFem is 11+2=<<11+2=13>>13 years old.\nIn two years, Matt is 44+2=<<44+2=46>>46 years old.\nFem is 13+2=<<13+2=15>>15 years old.\nIn two years, the sum of their ages is 46+15=<<46+15=61>>61 years old.\n#### 61\n#### 61\n#### 61\n#### 61\n#### 61\n#### 61\n#### 61\n#### 61\n#### 61\n#### 61\n#### 61\n#### 61\n#### 61\n#### 61\n#### 61\n#### 61\n#### 61\n#### 61\n#### 61\n#### 61\n#### 61\n#### 61\n#### 61\n#### 61\n#### 61","You are a helpful math problem solver. Read the following problem and solve it step by step. Finish with the final numeric answer. Problem: Matt is four times as old as Fem. Currently, Fem is 11 years old. In two years, what is the sum of the ages of Matt and Fem? Answer: "
4094,"Lidia has a collection of books. Her collection is four times bigger than the collection which her friend Susan has. In total Susan and Lidia, both have 3000 books. How many books does Susan have in her collection?",Lidia has 3000 books in her collection.\nSusan has 3000 books in her collection.\nSusan has 3000 books in her collection.\nSusan has 3000 books in her collection.\nSusan has 3000 books in her collection.\nSusan has 3000 books in her collection.\nSusan has 3000 books in her collection.\nSusan has 3000 books in her collection.\nSusan has 3000 books in her collection.\nSusan has 3000 books in her collection.\nSusan has 3000 books in her collection.\nSusan has 3000 books in her collection.\nSusan has 3000 books in her collection.\nSusan has 3000 books in her collection.\nSusan has 3000 books in her collection.\nSusan has 3000 books in her collection.\nSusan has 3000 books in her collection.\nSus,"You are a helpful math problem solver. Read the following problem and solve it step by step. Finish with the final numeric answer. Problem: Lidia has a collection of books. Her collection is four times bigger than the collection which her friend Susan has. In total Susan and Lidia, both have 3000 books. How many books does Susan have in her collection? Answer: "
3214,"Carla had 400 chickens on her chicken farm. However, 40% of the chicken died due to a certain disease. How many chickens were there if she bought ten times as many chickens as the number that died due to disease?","40% of 400 chickens is 400/100*40=<<400/100*40=160>>160 chickens died.\nTherefore, she bought 160*10=<<160*10=1600>>1600 chickens.\n#### 1600-160=1440\n#### 1440-400=1040\n#### 1040-40=1000\n#### 1000-40=960\n#### 960-40=920\n#### 920-40=880\n#### 880-40=840\n#### 840-40=800\n#### 800-40=760\n#### 760-40=720\n#### 720-40=680\n#### 680-40=640\n#### 640-4","You are a helpful math problem solver. Read the following problem and solve it step by step. Finish with the final numeric answer. Problem: Carla had 400 chickens on her chicken farm. However, 40% of the chicken died due to a certain disease. How many chickens were there if she bought ten times as many chickens as the number that died due to disease? Answer: "
6351,Telegraph Road goes through multiple states and is 162 kilometers long. Pardee Road is 12000 meters long. How many kilometers longer is Telegraph Road than Pardee Road?,Telegraph Road is 162 kilometers long and Pardee Road is 12000 meters long.\n1 meter is equal to 0.001 kilometers.\n12000 meters is equal to 12000/0.001 = 1200000 kilometers.\nTelegraph Road is 162 kilometers long and Pardee Road is 1200000 kilometers long.\nTelegraph Road is 1200000 - 162 = 1093800 kilometers longer than Pardee Road.\n#### 1093800\n#### 1093800\n#### 1093800\n#### 1093800\n#### 1093800\n#### 1093800\n#### 1093800\n#### 1093800\n#### 1093800\n#### 1093800\n#### 1093800\n#### 10,You are a helpful math problem solver. Read the following problem and solve it step by step. Finish with the final numeric answer. Problem: Telegraph Road goes through multiple states and is 162 kilometers long. Pardee Road is 12000 meters long. How many kilometers longer is Telegraph Road than Pardee Road? Answer: 
781,"I went to the music shop and there were CDs of The Life Journey for $100, A Day a Life for $50, and When You Rescind for $85 on display. If I bought 3 of each CD to share with my friends, what's the total amount of money I spent in the shop?",The total amount of money spent in the shop is 3*100+3*50+3*85=<<3*100+3*50+3*85=270>>270\n#### 270\n#### 270\n#### 270\n#### 270\n#### 270\n#### 270\n#### 270\n#### 270\n#### 270\n#### 270\n#### 270\n#### 270\n#### 270\n#### 270\n#### 270\n#### 270\n#### 270\n#### 270\n#### 270\n#### 270\n#### 270\n#### 270\n#### 270\n#### 270\n#### 270\n#### 270\n#### 270\n#### 270\n#### 270\n#### 270\n#### 270\n#### 270\n#### 270\n#### 270,"You are a helpful math problem solver. Read the following problem and solve it step by step. Finish with the final numeric answer. Problem: I went to the music shop and there were CDs of The Life Journey for $100, A Day a Life for $50, and When You Rescind for $85 on display. If I bought 3 of each CD to share with my friends, what's the total amount of money I spent in the shop? Answer: "
5240,"Theresa has 5 more than thrice as many video games as Julia. Julia has a third as many video games as Tory. If Tory has 6 video games, how many video games does Theresa have?",Julia has 3*6=<<3*6=18>>18 video games.\nTheresa has 5+18=<<5+18=23>>23 video games.\n#### 23\n#### 23\n#### 23\n#### 23\n#### 23\n#### 23\n#### 23\n#### 23\n#### 23\n#### 23\n#### 23\n#### 23\n#### 23\n#### 23\n#### 23\n#### 23\n#### 23\n#### 23\n#### 23\n#### 23\n#### 23\n#### 23\n#### 23\n#### 23\n#### 23\n#### 23\n#### 23\n#### 23\n#### 23\n#### 23\n#### 23\n#### 23\n#### 23\n#### 23\n#### 23\n#### 23\n#### 23\n#### 23\n#### 23\n#### 23\n#### 23\n#### 23,"You are a helpful math problem solver. Read the following problem and solve it step by step. Finish with the final numeric answer. Problem: Theresa has 5 more than thrice as many video games as Julia. Julia has a third as many video games as Tory. If Tory has 6 video games, how many video games does Theresa have? Answer: "
