index,source_text,raw_output,prompt_preview
13844,"Rampaging elephants trample bulls THE bulls and the bears are on holiday, leaving the Republican Elephants free to roam in Wall Street #39;s backyard. Although the three most watched market indices closed higher on Friday, only 848 million shares changed hands on the New York Stock Exchange.",Business/Finance,"Read the news and classify or describe it. You may output any free-form text. News: Rampaging elephants trample bulls THE bulls and the bears are on holiday, leaving the Republican Elephants free to roam in Wall Street #39;s backyard. Although the three most watched market indices closed higher on Friday, only 848 million shares changed hands on the New York Stock Exchange. Output: "
155,"Study Says Birds Feed Other Birds' Young (AP) AP - It's a lesson many little humans could learn from baby birds: Sometimes, being nice to other youngsters pays off. Brown-headed cowbirds, like several other bird species, leave their eggs in the nests of other birds, who then feed and raise the cowbird chicks.",World News  Description: A news article from the Associated Press (AP) about a study on birds feeding other birds' young.,"Read the news and classify or describe it. You may output any free-form text. News: Study Says Birds Feed Other Birds' Young (AP) AP - It's a lesson many little humans could learn from baby birds: Sometimes, being nice to other youngsters pays off. Brown-headed cowbirds, like several other bird species, leave their eggs in the nests of other birds, who then feed and raise the cowbird chicks. Output: "
6053,"NL: Green Homers Lift Los Angeles Past Atlanta (Reuters) Reuters - Shawn Green hit two home runs,\including a grand slam, as Los Angeles defeated the Atlanta\Braves 7-4 in a battle of National League division leaders at\Dodger Stadium Saturday.",Sports News  Business News Sports News  World News  Sports News  Sports News  Sports News  Sports News  Sports News  Sports News  Sports News,"Read the news and classify or describe it. You may output any free-form text. News: NL: Green Homers Lift Los Angeles Past Atlanta (Reuters) Reuters - Shawn Green hit two home runs,\including a grand slam, as Los Angeles defeated the Atlanta\Braves 7-4 in a battle of National League division leaders at\Dodger Stadium Saturday. Output: "
2472,"Qualcomm drops licensing suit against TI LOS ANGELES (Reuters)  Qualcomm has dropped an \$18 million claim for monetary damages from rival Texas Instruments for publicly discussing terms of a licensing pact, a TI spokeswoman confirmed Tuesday. ",Business Technology Licensing Lawsuit,"Read the news and classify or describe it. You may output any free-form text. News: Qualcomm drops licensing suit against TI LOS ANGELES (Reuters)  Qualcomm has dropped an \$18 million claim for monetary damages from rival Texas Instruments for publicly discussing terms of a licensing pact, a TI spokeswoman confirmed Tuesday.  Output: "
1740,World 100m Champion Torri Edwards Banned from Games  ATHENS (Reuters) - World 100 meters champion Torri Edwards  will miss the Athens Olympics after her appeal against a  two-year drugs ban was dismissed Tuesday.,Sports News World 100m Champion Torri Edwards Banned from Games  Class: Sports,Read the news and classify or describe it. You may output any free-form text. News: World 100m Champion Torri Edwards Banned from Games  ATHENS (Reuters) - World 100 meters champion Torri Edwards  will miss the Athens Olympics after her appeal against a  two-year drugs ban was dismissed Tuesday. Output: 
9356,"Mitch Decides to Stay Ryan Mitch, a backup quarterback who had missed two practices and a team meeting, returned Tuesday and pledged to remain with the Maryland program the next four years.",Sports - NFL - Player - Decision Sports News Sports - Sports - Sports - Sports - Sports - Sports - Sports - Sports - Sports - Sports - Sports -,"Read the news and classify or describe it. You may output any free-form text. News: Mitch Decides to Stay Ryan Mitch, a backup quarterback who had missed two practices and a team meeting, returned Tuesday and pledged to remain with the Maryland program the next four years. Output: "
14460,"Labor claims PM #39;s Net Harbour deals breach Spam Act The federal Opposition has asked Australia #39;s spam legislation enforcers to investigate what it claims is a breach of the Spam Act 2004 by the Prime Minister, coalition politicians and a company whose directors include the Prime Minister #39;s son.",Business/Politics/Law/Australia,"Read the news and classify or describe it. You may output any free-form text. News: Labor claims PM #39;s Net Harbour deals breach Spam Act The federal Opposition has asked Australia #39;s spam legislation enforcers to investigate what it claims is a breach of the Spam Act 2004 by the Prime Minister, coalition politicians and a company whose directors include the Prime Minister #39;s son. Output: "
13773,"Iran Hosts Iraqi Official, Eyes Better Relations (Reuters) Reuters - Iraqi deputy Prime Minister Barham Salih\said Sunday he brought a message of friendship to Iran, which\has been angered by charges it is stirring up tension in Iraq,\the official IRNA news agency said.","World News Description: Reuters reports on international relations between Iran and Iraq, with a focus on diplomatic efforts to improve relations.","Read the news and classify or describe it. You may output any free-form text. News: Iran Hosts Iraqi Official, Eyes Better Relations (Reuters) Reuters - Iraqi deputy Prime Minister Barham Salih\said Sunday he brought a message of friendship to Iran, which\has been angered by charges it is stirring up tension in Iraq,\the official IRNA news agency said. Output: "
6825,"Vet and three children show no bird flu symptoms SEREMBAN: A veterinarian and three of her children, who have been warded for observation at the Kota Baru Hospital, do not have a persistent fever or sore throat - the common symptoms of avian influenza.",Health  News  Malaysia  Bird  Flu  Symptoms,"Read the news and classify or describe it. You may output any free-form text. News: Vet and three children show no bird flu symptoms SEREMBAN: A veterinarian and three of her children, who have been warded for observation at the Kota Baru Hospital, do not have a persistent fever or sore throat - the common symptoms of avian influenza. Output: "
4177,Famous scofflaws hit Japan US chess legend Bobby Fischer is the latest in a string of problem migrants for Japan.,World News  Description: This news is World news as it talks about a famous person Bobby Fischer who is a problem for Japan.  World News Class:,Read the news and classify or describe it. You may output any free-form text. News: Famous scofflaws hit Japan US chess legend Bobby Fischer is the latest in a string of problem migrants for Japan. Output: 
2893,Nvidia to work on PlayStation 3 chip Graphics chip leader Nvidia announced Tuesday that it is working with Sony to develop the graphics processor for the next version of Sony #39;s PlayStation video game console.,Business Technology Gaming,Read the news and classify or describe it. You may output any free-form text. News: Nvidia to work on PlayStation 3 chip Graphics chip leader Nvidia announced Tuesday that it is working with Sony to develop the graphics processor for the next version of Sony #39;s PlayStation video game console. Output: 
2880,"Microsoft Funded Study Deciding Factor in 10yr Deal Genevish writes  quot;According to an article in the Register, Microsoft and the Newham Council in London have signed an agreement making Microsoft the preferred vendor for the council, instead of the original hybrid MS / Open Source plan. The council was very ...",Business Technology News,"Read the news and classify or describe it. You may output any free-form text. News: Microsoft Funded Study Deciding Factor in 10yr Deal Genevish writes  quot;According to an article in the Register, Microsoft and the Newham Council in London have signed an agreement making Microsoft the preferred vendor for the council, instead of the original hybrid MS / Open Source plan. The council was very ... Output: "
11338,Pair of Andres hold key to US boxing medal hopes Things looked bleak for the US boxing team before a pair of Andres stepped up and saved the Americans from further Olympic embarrassment.,Sports News Description: Sports News Sports News Sports Sports News Sports Sports Sports Sports Sports Sports Sports Sports Sports Sports Sports Sports Sports Sports Sports Sports Sports Sports Sports Sports Sports,Read the news and classify or describe it. You may output any free-form text. News: Pair of Andres hold key to US boxing medal hopes Things looked bleak for the US boxing team before a pair of Andres stepped up and saved the Americans from further Olympic embarrassment. Output: 
6338,"Green lifts Dodgers past Braves Shawn Green hit a grand slam and a solo homer to lead the host Los Angeles Dodgers past the Atlanta Braves, 7-4, yesterday, snapping Mike Hampton's string of seven straight wins.",Sports Sports News Baseball  Los Angeles Dodgers  Atlanta Braves  Shawn Green  Grand Slam,"Read the news and classify or describe it. You may output any free-form text. News: Green lifts Dodgers past Braves Shawn Green hit a grand slam and a solo homer to lead the host Los Angeles Dodgers past the Atlanta Braves, 7-4, yesterday, snapping Mike Hampton's string of seven straight wins. Output: "
